Station,Latitude,Longitude
AAK,42.6375,74.4942
ABKT,37.9304,58.1189
ABPO,-19.018,47.229
ALE,82.5033,-62.35
ARTI,56.3879,58.3849
ARU,56.4302,58.5625
ARU,56.4293,58.5615
ASCN,-7.9327,-14.3601
BFO,48.3301,8.3296
BORG,64.7474,-21.3268
BORK,53.0461,70.3184
BRVK,53.0581,70.2828
CMLA,37.7637,-25.5243
COCO,-12.1901,96.8349
DGAR,-7.4121,72.4525
EFI,-51.6753,-58.0637
ERM,42.015,143.1572
ESK,55.3167,-3.205
FFC,54.725,-101.9783
GAR,39.0052,70.3328
HOPE,-54.2836,-36.4879
IASL,34.946201,-106.456703
IBFO,48.331902,8.3311
JTS,10.2908,-84.9525
JZAX,40.0928,67.7118
KAPI,-5.0142,119.7517
KDAK,57.7828,-152.5835
KIV,43.9562,42.6888
KIV,43.9553,42.6863
KURK,50.7154,78.6202
KWAJ,8.8019,167.613
KWJN,9.2873,167.5369
LVZ,67.8979,34.6514
MBAR,-0.6019,30.7382
MSEY,-4.6737,55.4792
MSVF,-17.7448,178.0528
NIL,33.6506,73.2686
NNA,-11.9875,-76.8422
NRIL,69.5049,88.4414
NVS,54.8404,83.2346
OBN,55.1146,36.5674
PALK,7.2728,80.7022
PFO,33.6092,-116.4553
PFO,33.6107,-116.4555
PFO,33.6107,-116.4544
RAYN,23.5225,45.5032
RPN,-27.1267,-109.3344
SACV,14.9702,-23.6085
SHEL,-15.9594,-5.7455
SIMI,38.6585,69.0083
SUR,-32.3797,20.8117
TAU,-42.9099,147.3204
TLY,51.6807,103.6438
UOSS,24.9453,56.2042
WRAB,-19.9336,134.36
XBFO,48.3301,8.3296
XPF,33.6092,-116.4533
XPF,33.6107,-116.4555
XPFO,33.6107,-116.4555
AAE,9.0292,38.7656
AAE1,9.0292,38.7656
ADK,51.8823,-176.6842
AFI,-13.90853,-171.78265
ANMO,34.9459,-106.4572
ANMO,34.9502,-106.4602
ANMO,34.94591,-106.4572
ANTO,39.8681,32.79356
ANTO,39.8681,32.79356
BBSR,32.371299,-64.696299
BBSR,32.371299,-64.696299
BILL,68.0653,166.4531
BOCO,4.5869,-74.0432
CASY,-66.2792,110.5354
CCM,38.0557,-91.2446
CHTO,18.81401,98.94447
COL,64.8993,-147.7954
COL,64.8993,-147.7954
COLA,64.873599,-147.8616
COLA,64.873599,-147.8616
COR,44.5855,-123.3046
CTAO,-20.0882,146.2545
CTAO,-20.08765,146.24998
DAV,7.0697,125.5791
DAV,7.0697,125.5791
DWPF,28.1103,-81.4327
FUNA,-8.5259,179.1966
FURI,8.8952,38.6798
GNI,40.148,44.741
GRFO,49.6909,11.2203
GRFO,49.6909,11.2203
GUMO,13.5893,144.8684
HKT,29.9618,-95.8384
HKT,29.96478,-95.83812
HNR,-9.4387,159.9475
HRV,42.5064,-71.5583
INCN,37.4776,126.6239
INCN,37.47768,126.62436
JOHN,16.7329,-169.5292
KBL,34.5408,69.0432
KBS,78.9154,11.9385
KEV,69.7565,27.0035
KIEV,50.7012,29.2242
KIEV,50.7012,29.2242
KIP,21.42,-158.0112
KMBO,-1.1271,37.2525
KNTN,-2.7744,-171.7186
KONO,59.6491,9.5982
KONO,59.6491,9.5982
KONO,59.6521,9.5946
KOWA,14.4967,-4.014
KOWA,14.4967,-4.014
LCO,-29.011,-70.7004
LCO,-29.011,-70.7005
LSZ,-15.2779,28.1882
LVC,-22.6127,-68.9111
LVC,-22.6127,-68.9111
MA2,59.5756,150.77
MA2,59.5756,150.77
MACI,28.2502,-16.508199
MAJO,36.54567,138.20406
MAKZ,46.808,81.977
MAKZ,46.808,81.977
MBWA,-21.159,119.7313
MIDW,28.2154,-177.3697
MSKU,-1.6557,13.6116
NAI,-1.2739,36.8037
NWAO,-32.9277,117.239
OTAV,0.2376,-78.45076
OTAV,0.2376,-78.45076
PAB,39.5446,-4.3499
PAB,39.5446,-4.3499
PAYG,-0.6742,-90.2861
PET,53.0233,158.6499
PMG,-9.4047,147.1597
PMSA,-64.7744,-64.0489
POHA,19.7573,-155.5326
PTCN,-25.0713,-130.0953
PTGA,-0.7308,-59.9666
QSPA,-89.9289,144.4382
RAIO,46.0403,-122.8851
RAIO,46.0403,-122.8851
RAO,-29.245,-177.929
RAR,-21.2125,-159.7733
RCBR,-5.8274,-35.9014
RCBR,-5.8274,-35.9014
RSSD,44.1212,-104.0359
RSSD,44.1212,-104.0359
SAML,-8.9489,-63.1831
SBA,-77.8492,166.7572
SDV,8.8839,-70.634
SEO,37.5667,126.9667
SFJ,66.9967,-50.6156
SFJD,66.9961,-50.62076
SJG,18.1091,-66.15
SLBS,23.6858,-109.9443
SNZO,-41.3087,174.7043
SPA,-89.9954,115.0
SPA,-90.0,0.0
SSPA,40.6358,-77.8876
TARA,1.3549,172.9229
TARA,1.3549,172.9229
TATO,24.9735,121.4971
TBT,28.6794,-17.9145
TEIG,20.22624,-88.27633
TIXI,71.6341,128.8667
TOL,39.8814,-4.048499
TRIS,-37.0681,-12.3152
TRQA,-38.0568,-61.9787
TSUM,-19.20227,17.58376
TUC,32.3098,-110.7847
ULN,47.8651,107.0532
WAKE,19.2834,166.652
WCI,38.2289,-86.2939
WVT,36.1297,-87.83
XMAS,2.0448,-157.4457
YAK,62.031,129.6805
YSS,46.9587,142.7604
