method,n_points,mean,std,count
simpson,10,0.00021752879138148273,8.290682140586968e-05,24
simpson,21,0.00017549075012842272,3.573881020381583e-05,24
simpson,45,0.00012971679173764036,1.4416745656865704e-05,24
simpson,97,0.00012316783340793336,1.594016913992376e-05,24
simpson,206,0.00018258812497151666,2.937484804835477e-05,24
simpson,440,0.00017829033337572278,2.4057684715061638e-05,24
simpson,938,0.00025623924981725094,0.0004256398937449062,24
simpson,2000,0.0002147452498017325,0.00010073430302800937,24
trapz,10,5.787866621176363e-05,1.7603818788298573e-05,24
trapz,21,5.322170788228201e-05,1.2807166650388774e-05,24
trapz,45,5.6151749504351756e-05,1.6866318839764873e-05,24
trapz,97,5.3322083507130934e-05,9.631225482763437e-06,24
trapz,206,5.676591702770869e-05,7.04880955595371e-06,24
trapz,440,6.905954190491077e-05,2.4531214536721697e-05,24
trapz,938,7.741337549305172e-05,1.4959955388007065e-05,24
trapz,2000,0.00010206291669116278,1.520550619196152e-05,24
